MN,HD,HR,HIP,Gl,Name,OtherDesignations,ProperName,Bayer,Flamsteed,Constellation,RAJ2000,DecJ2000,GalLonJ2000,GalLatJ2000,pmRA,pmDec,RadVel,Distance,Vmag,Vmag_min,Vmag_max,B-V,SpType,Luminosity,XJ2000,YJ2000,ZJ2000,VXJ2000,VYJ2000,VZJ2000,Primary,MultipleID,IsMultiple,IsVariable
102,105435,4621,59196,,δ Cen,Del Cen/HD 105435/HIP 59196/HR 4621/HYG 59015/MN 102/δ Cen,,δ Cen,,Cen,12.13931,-50.722425,295.9963972227286,11.568292611938428,-47.53,-6.42,11.0,127.2265,2.58,2.626,2.496,-0.128,B2IVne,1309.784962399686,-80.490795,-2.936809,-98.48459,-5.12e-06,2.915e-05,-1.122e-05,59016,,0,1
103,106625,4662,59803,,Gienah,4 Crv/4Gam Crv/Gienah/HD 106625/HIP 59803/HR 4662/HYG 59620/MN 103/γ Crv,Gienah,γ Crv,4 Crv,Crv,12.263437,-17.541929,290.9847093266107,44.5016672618833,-159.58,22.31,-4.0,47.1032,2.58,,,-0.107,B8III,179.47336268325265,-44.805937,-3.095058,-14.197066,-1.5e-07,3.652e-05,6.09e-06,59621,,0,0
104,176687,7194,93506,,Ascella,38 Sgr/38Zet Sgr/Ascella/HD 176687/HIP 93506/HR 7194/HYG 93212/MN 104/ζ Sgr,Ascella,ζ Sgr,38 Sgr,Sgr,19.043532,-29.880105,6.840305588581101,-15.353532209652176,-14.1,3.66,22.0,27.0416,2.6,,,0.062,A3IV,58.07644175213118,6.326274,-22.577554,-13.471863,3.55e-06,-1.951e-05,-1.079e-05,93213,,0,0
105,135742,5685,74785,,Zubeneschamali,27 Lib/27Bet Lib/HD 135742/HIP 74785/HR 5685/HYG 74555/MN 105/Zubeneschamali/β Lib,Zubeneschamali,β Lib,27 Lib,Lib,15.283449,-9.382917,352.0221213028442,39.23424005505746,-96.39,-20.76,-35.0,56.7537,2.61,,,-0.071,B8V,253.51286304979072,-36.549398,-42.420251,-9.252607,3.57e-06,4.477e-05,2e-07,74556,,0,0
106,140573,5854,77070,Gl 596.2,Unukalhai,24 Ser/24Alp Ser/Gl 596.2/HD 140573/HIP 77070/HR 5854/HYG 76834/MN 106/Unukalhai/α Ser,Unukalhai,α Ser,24 Ser,Ser,15.737798,6.425627,14.20286150711886,44.07898020387947,134.66,44.14,2.7,22.6757,2.63,,,1.167,K2III,39.73745050614631,-12.5786,-18.695648,2.537718,1.105e-05,-1.009e-05,5.13e-06,76835,,0,0
107,11636,553,8903,Gl 80,Sheratan,6 Ari/6Bet Ari/Gl 80/HD 11636/HIP 8903/HR 553/HYG 8884/MN 107/Sheratan/β Ari,Sheratan,β Ari,6 Ari,Ari,1.910668,20.808035,142.2449002549163,-39.68170305970209,96.32,-108.8,-4.0,17.9856,2.64,,,0.165,A5V...,24.774220576332848,14.752622,8.063457,6.389157,-4.43e-06,7.15e-06,-1.032e-05,8884,,0,0
108,37795,1956,26634,,Phact,Alp Col/HD 37795/HIP 26634/HR 1956/HYG 26569/MN 108/Phact/α Col,Phact,α Col,,Col,5.660817,-34.074108,238.8088873728367,-28.85729563817777,-0.1,-24.05,35.0,80.1282,2.65,,,-0.12,B7IV,487.07966649253666,5.885917,66.110037,-44.89318,2.2e-06,2.432e-05,-2.779e-05,26569,,0,0
109,40312,2095,28380,,Mahasim,37 Aur/37The Aur/HD 40312/HIP 28380/HR 2095/HYG 28309/MN 109/Mahasim/θ Aur,Mahasim,θ Aur,37 Aur,Aur,5.995351,37.212585,174.3383796671619,6.72931379140824,42.09,-73.61,30.0,50.7614,2.65,2.66,2.63,-0.083,A0p Si,195.52396696208865,0.049188,40.426416,30.69934,-1.031e-05,3.54e-05,4.13e-06,28309,,0,1
110,109379,4786,61359,,Kraz,9 Crv/9Bet Crv/HD 109379/HIP 61359/HR 4786/HYG 61165/Kraz/MN 110/β Crv,Kraz,β Crv,9 Crv,Crv,12.573121,-23.396759,297.8739486461147,39.30747647392197,0.86,-56.0,-8.0,44.6628,2.65,,,0.893,G5II,151.3561248436207,-40.529889,-6.127261,-17.73539,1.221e-05,1.66e-06,-7.88e-06,61166,,0,0
111,8538,403,6686,,Ruchbah,37 Cas/37Del Cas/HD 8538/HIP 6686/HR 403/HYG 6672/MN 111/Ruchbah/δ Cas,Ruchbah,δ Cas,37 Cas,Cas,1.430216,60.235283,127.18973119457335,-2.3519776812639495,297.24,-49.49,7.0,30.4785,2.66,2.666,2.656,0.16,A5Vv SB,69.82324040771711,14.082378,5.53413,26.457567,-6.85e-06,4.45e-05,2.58e-06,6672,,0,1
112,121370,5235,67927,Gl 534,Muphrid,8 Boo/8Eta Boo/Gl 534/HD 121370/HIP 67927/HR 5235/HYG 67710/MN 112/Muphrid/η Boo,Muphrid,η Boo,8 Boo,Boo,13.911411,18.397717,5.288513439038936,73.03031731240466,-60.95,-358.1,1.0,11.396,2.68,,,0.58,G0IV,9.585173976856456,-9.487671,-5.188142,3.596709,-7.95e-06,-5.1e-07,-1.845e-05,67711,,0,0
