,jed,sun_rise_time,sun_set_time,dusk_time,dawn_time,venus_rise_time,venus_set_time,visible_at_down,visible_after_dawn,visible_at_dusk,visible_before_dusk,az_horizon,az_twilight,el_twilight
546,625879.0003576,625879.6217283788,625879.1905936312,625879.56041105,625879.2519146127,625879.7050733797,625879.2633570668,True,True,False,False,293.5450287901133,291.9033518419657,3.134954162754891
547,625880.0003576,625880.6220547012,625880.1907356065,625880.5607866187,625880.2520077829,625880.7063381383,625880.2636830949,True,True,False,False,293.18576083977064,291.511298983607,3.2116095892533556
548,625881.0003576,625881.6223910158,625881.1908652834,625881.5611779148,625881.2520828985,625881.7075982713,625881.2639810329,True,True,False,False,292.8157831528094,291.10990242646363,3.285918845771921
549,625882.0003576,625882.6227368847,625882.1909823515,625882.5615844068,625882.2521397481,625882.7088531589,625882.26425118,True,True,False,False,292.43534161603964,290.69932609507583,3.3579788356194364
550,625883.0003576,625883.6230918784,625883.1910865281,625883.5620055661,625883.2521781602,625883.7101022268,625883.2644938696,True,True,False,False,292.04465479551493,290.2797612347403,3.427838864223973
551,625884.0003576,625884.6234555717,625884.1911775565,625884.5624408385,625884.2521979858,625884.711344942,625884.2647094657,True,True,False,False,291.6440232195587,289.8513717699971,3.495676516503951
552,625885.0003576,625885.6238275445,625885.1912552053,625885.5628896907,625885.2521991238,625885.7125808119,625885.26489836,True,True,False,False,291.2336654542243,289.4143216253863,3.561561161568129
553,625886.0003576,625886.6242073821,625886.1913192682,625886.5633515635,625886.2521814931,625886.7138093873,625886.2650609734,True,True,False,False,290.81385470707863,288.96885668771813,3.6255715600353726
554,625887.0003576,625887.6245946791,625887.191369564,625887.5638259118,625887.2521450698,625887.7150302636,625887.2651977541,True,True,False,False,290.3848368649318,288.51511356077583,3.6878261729991
555,625888.0003576,625888.6249890395,625888.1914059359,625888.5643121788,625888.2520898397,625888.7162430827,625888.265309178,True,True,False,False,289.94688513535056,288.05328348985626,3.7484539202798954
556,625889.0003576,625889.6253900747,625889.1914293999,625889.564809827,625889.2520158257,625889.7174475302,625889.2653947615,True,True,False,False,289.50027272590177,287.5835850410128,3.8075013325414786
557,625890.0003576,625890.625797403,625890.1914363853,625890.5653183102,625890.2519230775,625890.7186433359,625890.2654573095,True,True,False,False,289.0452455233955,287.10623678029896,3.8650840961129176
558,625891.0003576,625891.6262106488,625891.1914302481,625891.5658370735,625891.2518116651,625891.7198302695,625891.2654960663,True,True,False,False,288.58207673539863,286.6213479907414,3.921326008172918
559,625892.0003576,625892.626629442,625892.1914097532,625892.5663655797,625892.2516816816,625892.721008142,625892.2655115905,True,True,False,False,288.1110122487212,286.12919187990695,3.976326960238092
560,625893.0003576,625893.6270534189,625893.1913748325,625893.5669032772,625893.2515332339,625893.722176803,625893.2655044566,True,True,False,False,287.63232527093,285.62990505157904,4.030192393353751
561,625894.0003576,625894.6274822236,625894.1913254336,625894.5674496368,625894.2513664545,625894.7233361406,625894.2654752531,True,True,False,False,287.1462343680785,285.12370607181106,4.08297481459914
562,625895.0003576,625895.6279155097,625895.1912615185,625895.5680041208,625895.2511814897,625895.7244860823,625895.2654245822,True,True,False,False,286.65304006849027,284.61078618589977,4.134852662666326
563,625896.0003576,625896.6283529422,625896.1911830665,625896.5685662021,625896.2509785016,625896.7256265951,625896.2653518666,True,True,False,False,286.1529882589753,284.0913093183853,4.185888689918308
564,625897.0003576,625897.6287941968,625897.1910900723,625897.5691353737,625897.2507576884,625897.7267576833,625897.2652598179,True,True,False,False,285.6462975055871,283.565494035321,4.23618193409805
565,625898.0003576,625898.6292389603,625898.1909825467,625898.5697111228,625898.2505192431,625898.7278793894,625898.2651481866,True,True,False,False,285.1332410158924,283.0334769404904,4.285866010781192
566,625899.0003576,625899.6296869267,625899.1908605141,625899.5702929489,625899.2502633894,625899.7289917893,625899.2650176205,True,True,False,False,284.6140646767014,282.4955312414602,4.334987023744632
567,625900.0003576,625900.6301377935,625900.1907240108,625900.5708803596,625900.2499903552,625900.73009499,625900.2648687756,True,True,False,False,284.08901437482416,281.9517662212571,4.383688406960938
568,625901.0003576,625901.630591257,625901.1905730823,625901.5714728485,625901.2497003805,625901.731189124,625901.2647023131,True,True,False,False,283.55830867631414,281.4023458044213,4.43208456609871
569,625902.0003576,625902.6310470074,625902.1904077791,625902.5720699152,625902.2493937148,625902.7322743437,625902.2645188961,True,True,False,False,283.02219346798154,280.84748855700616,4.48023611908683
570,625903.0003576,625903.6315047236,625903.1902281537,625903.5726710309,625903.2490706089,625903.733350815,625903.2643191877,True,True,False,False,282.48094195739304,280.2873857243084,4.528282657916462
571,625904.0003576,625904.63196407,625904.1900342586,625904.573275672,625904.2487313128,625904.7344187133,625904.2641038478,True,True,False,False,281.93474538984543,279.7222012308682,4.576315963254577
572,625905.0003576,625905.6324246989,625905.1898261439,625905.5738832764,625905.2483760872,625905.73547822,625905.2638735308,True,True,False,False,281.38387697290557,279.15209900122557,4.624422693126268
573,625906.0003576,625906.6328862528,625906.1896038584,625906.5744932865,625906.2480051722,625906.7365295237,625906.2636288868,True,True,False,False,280.8285552726269,278.577297601434,4.672720668294722
574,625907.0003576,625907.6333483756,625907.1893674533,625907.5751051543,625907.2476188258,625907.7375728239,625907.2633705626,True,True,False,False,280.2690534965761,277.9979609560335,4.721327282636294
575,625908.0003576,625908.6338107206,625908.1891169862,625908.5757183261,625908.2472172978,625908.7386083351,625908.2630992043,True,True,False,False,279.70559021080675,277.4142803103209,4.770298458324816
576,625909.0003576,625909.6342729602,625909.1888525281,625909.57633228,625909.2468008655,625909.7396362917,625909.2628154589,True,True,False,False,279.13843862288553,276.8264742303496,4.819752869897116
577,625910.0003576,625910.634734787,625910.1885741653,625910.5769465117,625910.2463698017,625910.740656944,625910.2625199731,True,True,False,False,278.56781729886603,276.234679319903,4.869810899437317
578,625911.0003576,625911.635195913,625911.1882819999,625911.5775605516,625911.2459244003,625911.7416705566,625911.2622133908,True,True,False,False,277.99397212555823,275.63911414503457,4.920528896006069
579,625912.0003576,625912.6356560674,625912.1879761494,625912.5781735551,625912.2454653563,625912.7426774031,625912.2618963504,True,True,False,False,277.417176310529,275.03999727179774,4.971866732242001
580,625913.0003576,625913.6361149966,625913.187656746,625913.5787844326,625913.2449936135,625913.7436777665,625913.261569486,True,True,False,False,276.83759377831836,274.43762922851596,5.023749276064241
581,625914.0003576,625914.6365724667,625914.1873239384,625914.5793997039,625914.2445025846,625914.7446719417,625914.2612334294,True,True,False,False,276.2554977364932,273.8311903924889,5.0784053035763295
582,625915.0003576,625915.6370282662,625915.1869778915,625915.5800073997,625915.2440041866,625915.7456602366,625915.2608888135,True,True,False,False,275.6711340718636,273.2225385751707,5.132241708388016
583,625916.0003576,625916.6374822066,625916.1866187886,625916.5806129462,625916.2434929955,625916.7466429744,625916.2605362749,True,True,False,False,275.084721350483,272.6110180784011,5.187168382145966
584,625917.0003576,625917.6379341215,625917.1862468284,625917.5812160212,625917.2429693596,625917.7476204927,625917.2601764533,True,True,False,False,274.4964781384048,271.9968201474769,5.243241673910832
585,625918.0003576,625918.6383838647,625918.1858622234,625918.5818163011,625918.242433671,625918.7485931413,625918.2598099923,True,True,False,False,273.9066503224392,271.3801360276948,5.300549949255001
586,625919.0003576,625919.638831309,625919.1854651985,625919.582413516,625919.2418863063,625919.7495612807,625919.259437537,True,True,False,False,273.31548378939624,270.7611569643515,5.359150837899595
587,625920.0003576,625920.6392763455,625920.1850559884,625920.5830131755,625920.241321871,625920.7505252813,625920.2590597358,True,True,False,False,272.72314246381603,270.13919993853017,5.42093544847106
588,625921.0003576,625921.6397188823,625921.184634838,625921.5836034842,625921.2407523188,625921.7514855214,625921.2586772372,True,True,False,False,272.12989955326543,269.5161227616849,5.482296587313986
589,625922.0003576,625922.6401588449,625922.184202001,625922.5841899974,625922.2401722699,625922.7524423874,625922.2582906925,True,True,False,False,271.5359736237978,268.89129705641216,5.5450920658826135
590,625923.0003576,625923.6405961784,625923.1837577394,625923.584772532,625923.2395821237,625923.7533962745,625923.2579007542,True,True,False,False,270.9415832414666,268.264886747252,5.609443973808358
591,625924.0003576,625924.6410308469,625924.1833023254,625924.5853509144,625924.2389822782,625924.7543475861,625924.2575080781,True,True,False,False,270.34694697232527,267.63708307950105,5.675346334675695
592,625925.0003576,625925.6414628336,625925.1828360402,625925.5859252532,625925.2383728884,625925.7552967349,625925.2571133228,True,True,False,False,269.7522833824273,267.00799533618624,5.742986551799978
593,625926.0003576,625926.6418921391,625926.1823591718,625926.5864952942,625926.2377545146,625926.7562441407,625926.2567171499,True,True,False,False,269.1578110378261,266.37781476260415,5.812359075652505
594,625927.0003576,625927.642318777,625927.181872016,625927.5870607708,625927.2371277299,625927.757190228,625927.2563202213,True,True,False,False,268.56372118381836,265.74673260405166,5.8834579298177525
595,625928.0003576,625928.6427427689,625928.1813748712,625928.5876215826,625928.2364929375,625928.7581354217,625928.2559232004,True,True,False,False,267.9702597072143,265.1149401058255,5.956340744016844
596,625929.0003576,625929.6431641392,625929.1808680368,625929.5881776637,625929.23585055,625929.7590801425,625929.2555267471,True,True,False,False,267.37761785331065,264.4826011924657,6.031031423911871
597,625930.0003576,625930.6435829087,625930.1803518108,625930.5887289293,625930.2352009524,625930.7600248028,625930.2551315185,True,True,False,False,266.78601418816083,263.84985246775574,6.1076482171528435
598,625931.0003576,625931.6439990911,625931.1798264862,625931.5892752971,625931.2345445491,625931.7609698,625931.2547381662,True,True,False,False,266.19566727781825,263.2168578562356,6.186242350158534
599,625932.0003576,625932.6444126912,625932.1792923498,625932.5898166831,625932.2338817081,625932.7619155159,625932.2543473367,True,True,False,False,265.6067683675798,262.5837812824455,6.26679845500331
600,625933.0003576,625933.6448237048,625933.1787496835,625933.5903529876,625933.2332128073,625933.7628623128,625933.2539596714,True,True,False,False,265.01956334425546,261.9508139916821,6.349427095374363
601,625934.0003576,625934.6452321231,625934.1781987627,625934.5908841176,625934.2325382122,625934.7638105352,625934.2535758072,True,True,False,False,264.4342707738987,261.31811990848547,6.434172240614473
602,625935.0003576,625935.6456379357,625935.1776398604,625935.591409974,625935.2318582782,625935.7647605084,625935.2531963771,True,True,False,False,263.851109222563,260.6858629573957,6.521075725632307
603,625936.0003576,625936.6460411379,625936.177073248,625936.5919304849,625936.2311733527,625936.7657125413,625936.2528220108,True,True,False,False,263.27029725630183,260.0542070629529,6.610209267414151
604,625937.0003576,625937.6464417318,625937.1764991968,625937.5924455643,625937.2304837855,625937.7666669239,625937.2524533318,True,True,False,False,262.6920807619252,259.42334347045386,6.701641594738526
605,625938.0003576,625938.6468397293,625938.1759179793,625938.5929551614,625938.2297899191,625938.767623926,625938.2520909556,True,True,False,False,262.11670562624334,258.7934361044386,6.795406858551284
606,625939.0003576,625939.64723515,625939.175329868,625939.5934592262,625939.2290920985,625939.7685837939,625939.2517354852,True,True,False,False,261.5443630945529,258.16467621020394,6.891533660269574
607,625940.0003576,625940.6476280217,625940.1747351359,625940.5939577298,625940.2283906498,625940.7695467477,625940.2513875093,True,True,False,False,260.97535369517755,257.53722771228985,6.990109084805314
608,625941.0003576,625941.6480183813,625941.174134057,625941.5944506457,625941.2276859152,625941.7705129823,625941.2510476031,True,True,False,False,260.40984135265717,256.9112818559932,7.091120752440633
609,625942.0003576,625942.6484062767,625942.1735269094,625942.5949379643,625942.2269782193,625942.77148267,625942.2507163307,True,True,False,False,259.8480992745586,256.28700256585404,7.194645502803692
610,625943.0003576,625943.6487917695,625943.1729139774,625943.5954197057,625943.2262679006,625943.7724559626,625943.25039425,True,True,False,False,259.2903733476921,255.66458108716913,7.300696996272834
611,625944.0003576,625944.6491749366,625944.1722955531,625944.5958958972,625944.2255553046,625944.7734329938,625944.250081915,True,True,False,False,258.73685481735424,255.0442086652352,7.409315787096254
612,625945.0003576,625945.6495558694,625945.1716719365,625945.59636658,625945.2248407672,625945.7744138783,625945.2497798766,True,True,False,False,258.18781689111194,254.42610386610573,7.520512974331354
613,625946.0003576,625946.6499346734,625946.1710434353,625946.5968318305,625946.2241246424,625946.7753987121,625946.2494886834,True,True,False,False,257.64350545577526,253.81037597280744,7.634359421190774
614,625947.0003576,625947.6503114677,625947.1704103632,625947.5972917216,625947.2234072727,625947.7763875707,625947.2492088804,True,True,False,False,257.1041390773977,253.1972708721504,7.750799632387505
615,625948.0003576,625948.6506863821,625948.1697730394,625948.5977463609,625948.2226890175,625948.777380507,625948.248941008,True,True,False,False,256.5699363220327,252.58695248867474,7.869934353211805
616,625949.0003576,625949.6510595591,625949.1691317887,625949.5981959259,625949.2219701902,625949.7783775518,625949.2486856021,True,True,False,False,256.0411977180036,251.9796120676772,7.9917371166806435
